identifier,RWS,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
open3r-trans-eng-gmca-gmcat0000068,hwrc-eng-gmca-gb3908hp,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000069,hwrc-eng-gmca-gb3908hp,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000070,hwrc-eng-gmca-gb3908hp,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000071,hwrc-eng-gmca-gb3907fd,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000072,hwrc-eng-gmca-gb3907fd,hwrc-trans-02,1,Mo-Fr 07:00-18:00; Sa-Su 07:00-17:00; PH 07:00-18:00,0,0,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000073,hwrc-eng-gmca-gb3907fd,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000074,hwrc-eng-gmca-gb3907fd,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000075,hwrc-eng-gmca-gb3907fd,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000076,hwrc-eng-gmca-gb3908kl,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000077,hwrc-eng-gmca-gb3908kl,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000078,hwrc-eng-gmca-gb3908kl,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000079,hwrc-eng-gmca-gb3908kl,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000080,hwrc-eng-gmca-gb3908kl,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000081,hwrc-eng-gmca-gb3907st,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000082,hwrc-eng-gmca-gb3907st,hwrc-trans-02,1,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su off; PH 07:00-17:00,0,0,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000083,hwrc-eng-gmca-gb3907st,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000084,hwrc-eng-gmca-gb3907st,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000085,hwrc-eng-gmca-gb3907st,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000086,hwrc-eng-gmca-gb3908lm,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000087,hwrc-eng-gmca-gb3908lm,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000088,hwrc-eng-gmca-gb3908lm,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000089,hwrc-eng-gmca-gb3908lm,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000090,hwrc-eng-gmca-gb3908lm,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000091,hwrc-eng-gmca-gb3908mu,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000092,hwrc-eng-gmca-gb3908mu,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000093,hwrc-eng-gmca-gb3908mu,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000094,hwrc-eng-gmca-gb3908mu,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000095,hwrc-eng-gmca-gb3908mu,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000096,hwrc-eng-gmca-gb3908tc,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000097,hwrc-eng-gmca-gb3908tc,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000098,hwrc-eng-gmca-gb3908tc,hwrc-trans-03,,,,,,1.8 m,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000099,hwrc-eng-gmca-gb3908tc,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000100,hwrc-eng-gmca-gb3908tc,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000101,hwrc-eng-dev-ep3396hr,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000102,hwrc-eng-dev-ep3396hr,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000103,hwrc-eng-dev-ep3396hr,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000104,hwrc-eng-dev-ep3396hr,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000105,hwrc-eng-dev-ep3396hr,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000106,hwrc-eng-dev-jp3391hn,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000107,hwrc-eng-dev-jp3391hn,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000108,hwrc-eng-dev-jp3391hn,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000109,hwrc-eng-dev-jp3391hn,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000110,hwrc-eng-dev-jp3391hn,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000111,hwrc-eng-dev-bp3097hc,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000112,hwrc-eng-dev-bp3097hc,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000113,hwrc-eng-dev-bp3097hc,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000114,hwrc-eng-dev-bp3097hc,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000115,hwrc-eng-dev-bp3097hc,hwrc-trans-05,1,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000116,hwrc-eng-dev-jp3691hd,hwrc-trans-01,1,,,0,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000117,hwrc-eng-dev-jp3691hd,hwrc-trans-02,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000118,hwrc-eng-dev-jp3691hd,hwrc-trans-03,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000119,hwrc-eng-dev-jp3691hd,hwrc-trans-04,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000120,hwrc-eng-dev-jp3691hd,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000121,hwrc-eng-dev-eb3738rg,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000122,hwrc-eng-dev-eb3738rg,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000123,hwrc-eng-dev-eb3738rg,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000124,hwrc-eng-dev-eb3738rg,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000125,hwrc-eng-dev-eb3738rg,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000126,hwrc-eng-dev-jb3107lz,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000127,hwrc-eng-dev-jb3107lz,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000128,hwrc-eng-dev-jb3107lz,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000129,hwrc-eng-dev-jb3107lz,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000130,hwrc-eng-dev-jb3107lz,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000131,hwrc-eng-dev-eb3739dr,hwrc-trans-01,1,,,0,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000132,hwrc-eng-dev-eb3739dr,hwrc-trans-02,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000133,hwrc-eng-dev-eb3739dr,hwrc-trans-03,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000134,hwrc-eng-dev-eb3739dr,hwrc-trans-04,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000135,hwrc-eng-dev-eb3739dr,hwrc-trans-05,1,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000136,hwrc-eng-dev-cb3309me,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000137,hwrc-eng-dev-cb3309me,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
