identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-gmca-gb3908kl,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908kl,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,hwrc-trans-02,1,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su off; PH 07:00-17:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3907st,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907st,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,hwrc-trans-02,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3908lm,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908lm,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,hwrc-trans-02,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3908mu,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908mu,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,hwrc-trans-02,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,hwrc-trans-03,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908tc,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908tc,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ep3396hr,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ep3396hr,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ep3396hr,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-ep3396hr,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-ep3396hr,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3391hn,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3391hn,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3391hn,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3391hn,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3391hn,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-bp3097hc,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-bp3097hc,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-bp3097hc,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-bp3097hc,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-bp3097hc,hwrc-trans-05,1,,,,,,,,,,24/09/2021
