Id,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-gmca-gb3907ls,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ml,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ml,large vehicle,1,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ml,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907ml,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908cr,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908cr,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908cr,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3908cr,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908fj,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908fj,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908fj,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3908fj,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908gq,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908gq,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908gq,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3908gq,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,large vehicle,1,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su off; PH 07:00-17:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907cw,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3908hp,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,large vehicle,1,Mo-Fr 07:00-18:00; Sa-Su 07:00-17:00; PH 07:00-18:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907fd,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3908kl,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,large vehicle,1,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su off; PH 07:00-17:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907st,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3908lm,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3908mu,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3908tc,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ep3396hr,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ep3396hr,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ep3396hr,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-ep3396hr,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3391hn,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3391hn,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3391hn,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-jp3391hn,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-bp3097hc,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-bp3097hc,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-bp3097hc,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-bp3097hc,pedestrian,1,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3691hd,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3691hd,large vehicle,1,,,1,https://www.devon.gov.uk/wasteandrecycling/recycling-centres/site-user-restrictions/,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3691hd,trailer,1,,,1,https://www.devon.gov.uk/wasteandrecycling/recycling-centres/site-user-restrictions/,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-jp3691hd,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3738rg,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3738rg,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3738rg,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-eb3738rg,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jb3107lz,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jb3107lz,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jb3107lz,trailer,1,,,,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-jb3107lz,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739dr,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3739dr,large vehicle,1,,,1,https://www.devon.gov.uk/wasteandrecycling/recycling-centres/site-user-restrictions/,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739dr,trailer,1,,,1,https://www.devon.gov.uk/wasteandrecycling/recycling-centres/site-user-restrictions/,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-dev-eb3739dr,pedestrian,1,,,,,,,,,,24/09/2021
,hwrc-eng-dev-cb3309me,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
